|       name |               hmsdms |                 ra |                  dec | label |
| T1959-2917 | 19h59m59s -29d17m22s | 299.99583333333334 |  -29.289444444444445 |     t |
| T2012-2917 | 20h12m37s -29d17m22s |  303.1541666666666 |  -29.289444444444445 |     t |
| T2025-2917 | 20h25m15s -29d17m22s |           306.3125 |  -29.289444444444445 |     t |
| T2037-2917 | 20h37m53s -29d17m22s |  309.4708333333333 |  -29.289444444444445 |     t |
| T2050-2917 | 20h50m31s -29d17m22s |  312.6291666666666 |  -29.289444444444445 |     t |
| T2103-2917 | 21h03m09s -29d17m22s | 315.78749999999997 |  -29.289444444444445 |     t |
| T2115-2917 | 21h15m47s -29d17m22s |  318.9458333333333 |  -29.289444444444445 |     t |
| T2128-2917 | 21h28m25s -29d17m22s |  322.1041666666666 |  -29.289444444444445 |     t |
| T2141-2917 | 21h41m03s -29d17m22s | 325.26249999999993 |  -29.289444444444445 |     t |
| T2153-2917 | 21h53m41s -29d17m22s |  328.4208333333333 |  -29.289444444444445 |     t |
| T2206-2917 | 22h06m18s -29d17m22s |            331.575 |  -29.289444444444445 |     t |
| T2218-2917 | 22h18m56s -29d17m22s |  334.7333333333333 |  -29.289444444444445 |     t |
| T2231-2917 | 22h31m34s -29d17m22s |  337.8916666666666 |  -29.289444444444445 |     t |
| T2244-2917 | 22h44m12s -29d17m22s | 341.04999999999995 |  -29.289444444444445 |     t |
| T2256-2917 | 22h56m50s -29d17m22s |  344.2083333333333 |  -29.289444444444445 |     t |
| T2309-2917 | 23h09m28s -29d17m22s |  347.3666666666666 |  -29.289444444444445 |     t |
| T2322-2917 | 23h22m06s -29d17m22s |  350.5249999999999 |  -29.289444444444445 |     t |
| T2334-2917 | 23h34m44s -29d17m22s |  353.6833333333333 |  -29.289444444444445 |     t |
| T2347-2917 | 23h47m22s -29d17m22s | 356.84166666666664 |  -29.289444444444445 |     t |
| T2359-2917 | 23h59m59s -29d17m22s | 359.99583333333334 |  -29.289444444444445 |     t |
| T0000-2651 | 00h00m00s -26d51m26s |                0.0 |  -26.857222222222223 |     t |
| T0012-2651 | 00h12m24s -26d51m26s | 3.0999999999999996 |  -26.857222222222223 |     t |
| T0024-2651 | 00h24m49s -26d51m26s |  6.204166666666667 |  -26.857222222222223 |     t |
| T0037-2651 | 00h37m14s -26d51m26s |  9.308333333333334 |  -26.857222222222223 |     t |
| T0049-2651 | 00h49m39s -26d51m26s | 12.412499999999998 |  -26.857222222222223 |     t |
| T0102-2651 | 01h02m04s -26d51m26s | 15.516666666666666 |  -26.857222222222223 |     t |
| T0114-2651 | 01h14m28s -26d51m26s | 18.616666666666667 |  -26.857222222222223 |     t |
| T0126-2651 | 01h26m53s -26d51m26s |  21.72083333333333 |  -26.857222222222223 |     t |
| T0139-2651 | 01h39m18s -26d51m26s | 24.824999999999996 |  -26.857222222222223 |     t |
| T0151-2651 | 01h51m43s -26d51m26s | 27.929166666666667 |  -26.857222222222223 |     t |
| T0204-2651 | 02h04m08s -26d51m26s |  31.03333333333333 |  -26.857222222222223 |     t |
| T0216-2651 | 02h16m33s -26d51m26s | 34.137499999999996 |  -26.857222222222223 |     t |
| T0228-2651 | 02h28m57s -26d51m26s |            37.2375 |  -26.857222222222223 |     t |
| T0241-2651 | 02h41m22s -26d51m26s |  40.34166666666667 |  -26.857222222222223 |     t |
| T0253-2651 | 02h53m47s -26d51m26s | 43.445833333333326 |  -26.857222222222223 |     t |
| T0306-2651 | 03h06m12s -26d51m26s |              46.55 |  -26.857222222222223 |     t |
| T0318-2651 | 03h18m37s -26d51m26s | 49.654166666666654 |  -26.857222222222223 |     t |
| T0331-2651 | 03h31m02s -26d51m26s | 52.758333333333326 |  -26.857222222222223 |     t |
| T0343-2651 | 03h43m26s -26d51m26s |  55.85833333333333 |  -26.857222222222223 |     t |
| T0355-2651 | 03h55m51s -26d51m26s |  58.96249999999999 |  -26.857222222222223 |     t |
| T0408-2651 | 04h08m16s -26d51m26s |  62.06666666666666 |  -26.857222222222223 |     t |
| T0420-2651 | 04h20m41s -26d51m26s |  65.17083333333332 |  -26.857222222222223 |     t |
| T0433-2651 | 04h33m06s -26d51m26s |  68.27499999999999 |  -26.857222222222223 |     t |
| T0445-2651 | 04h45m31s -26d51m26s |  71.37916666666665 |  -26.857222222222223 |     t |
| T0457-2651 | 04h57m55s -26d51m26s |  74.47916666666666 |  -26.857222222222223 |     t |
| T0510-2651 | 05h10m20s -26d51m26s |  77.58333333333333 |  -26.857222222222223 |     t |
| T0522-2651 | 05h22m45s -26d51m26s |  80.68749999999999 |  -26.857222222222223 |     t |
| T0535-2651 | 05h35m10s -26d51m26s |  83.79166666666666 |  -26.857222222222223 |     t |
| T0547-2651 | 05h47m35s -26d51m26s |  86.89583333333331 |  -26.857222222222223 |     t |
| T0559-2651 | 05h59m59s -26d51m26s |  89.99583333333332 |  -26.857222222222223 |     t |
| T0612-2651 | 06h12m24s -26d51m26s |               93.1 |  -26.857222222222223 |     t |
| T0624-2651 | 06h24m49s -26d51m26s |  96.20416666666667 |  -26.857222222222223 |     t |
| T0637-2651 | 06h37m14s -26d51m26s |  99.30833333333332 |  -26.857222222222223 |     t |
| T0649-2651 | 06h49m39s -26d51m26s | 102.41249999999998 |  -26.857222222222223 |     t |
| T0702-2651 | 07h02m04s -26d51m26s | 105.51666666666665 |  -26.857222222222223 |     t |
| T0714-2651 | 07h14m28s -26d51m26s | 108.61666666666666 |  -26.857222222222223 |     t |
| G0726-2651 | 07h26m53s -26d51m26s | 111.72083333333332 |  -26.857222222222223 |     g |
| G0739-2651 | 07h39m18s -26d51m26s | 114.82499999999999 |  -26.857222222222223 |     g |
| G0751-2651 | 07h51m43s -26d51m26s | 117.92916666666665 |  -26.857222222222223 |     g |
| G0804-2651 | 08h04m08s -26d51m26s | 121.03333333333332 |  -26.857222222222223 |     g |
| G0816-2651 | 08h16m33s -26d51m26s |           124.1375 |  -26.857222222222223 |     g |
| T0828-2651 | 08h28m57s -26d51m26s | 127.23749999999998 |  -26.857222222222223 |     t |
| T0841-2651 | 08h41m22s -26d51m26s | 130.34166666666664 |  -26.857222222222223 |     t |
| T0853-2651 | 08h53m47s -26d51m26s |  133.4458333333333 |  -26.857222222222223 |     t |
| T0906-2651 | 09h06m12s -26d51m26s | 136.54999999999998 |  -26.857222222222223 |     t |
| T0918-2651 | 09h18m37s -26d51m26s | 139.65416666666667 |  -26.857222222222223 |     t |
| T0931-2651 | 09h31m02s -26d51m26s | 142.75833333333333 |  -26.857222222222223 |     t |
| T0943-2651 | 09h43m26s -26d51m26s | 145.85833333333332 |  -26.857222222222223 |     t |
| T0955-2651 | 09h55m51s -26d51m26s | 148.96249999999998 |  -26.857222222222223 |     t |
| T1008-2651 | 10h08m16s -26d51m26s | 152.06666666666666 |  -26.857222222222223 |     t |
| T1020-2651 | 10h20m41s -26d51m26s | 155.17083333333332 |  -26.857222222222223 |     t |
| T1033-2651 | 10h33m06s -26d51m26s |            158.275 |  -26.857222222222223 |     t |
| T1045-2651 | 10h45m31s -26d51m26s | 161.37916666666666 |  -26.857222222222223 |     t |
| T1057-2651 | 10h57m55s -26d51m26s | 164.47916666666663 |  -26.857222222222223 |     t |
| T1110-2651 | 11h10m20s -26d51m26s | 167.58333333333331 |  -26.857222222222223 |     t |
| T1122-2651 | 11h22m45s -26d51m26s | 170.68749999999997 |  -26.857222222222223 |     t |
| T1135-2651 | 11h35m10s -26d51m26s | 173.79166666666666 |  -26.857222222222223 |     t |
| T1147-2651 | 11h47m35s -26d51m26s | 176.89583333333331 |  -26.857222222222223 |     t |
| T1159-2651 | 11h59m59s -26d51m26s |  179.9958333333333 |  -26.857222222222223 |     t |
| T1212-2651 | 12h12m24s -26d51m26s | 183.09999999999997 |  -26.857222222222223 |     t |
| T1224-2651 | 12h24m49s -26d51m26s | 186.20416666666665 |  -26.857222222222223 |     t |
| T1237-2651 | 12h37m14s -26d51m26s | 189.30833333333334 |  -26.857222222222223 |     t |
| T1249-2651 | 12h49m39s -26d51m26s |           192.4125 |  -26.857222222222223 |     t |
| T1302-2651 | 13h02m04s -26d51m26s | 195.51666666666665 |  -26.857222222222223 |     t |
| T1314-2651 | 13h14m28s -26d51m26s | 198.61666666666662 |  -26.857222222222223 |     t |
| T1326-2651 | 13h26m53s -26d51m26s |  201.7208333333333 |  -26.857222222222223 |     t |
| T1339-2651 | 13h39m18s -26d51m26s |            204.825 |  -26.857222222222223 |     t |
| T1351-2651 | 13h51m43s -26d51m26s | 207.92916666666662 |  -26.857222222222223 |     t |
| T1404-2651 | 14h04m08s -26d51m26s |  211.0333333333333 |  -26.857222222222223 |     t |
| T1416-2651 | 14h16m33s -26d51m26s |           214.1375 |  -26.857222222222223 |     t |
| T1428-2651 | 14h28m57s -26d51m26s | 217.23749999999998 |  -26.857222222222223 |     t |
| T1441-2651 | 14h41m22s -26d51m26s | 220.34166666666664 |  -26.857222222222223 |     t |
| T1453-2651 | 14h53m47s -26d51m26s |  223.4458333333333 |  -26.857222222222223 |     t |
| T1506-2651 | 15h06m12s -26d51m26s | 226.54999999999998 |  -26.857222222222223 |     t |
| T1518-2651 | 15h18m37s -26d51m26s | 229.65416666666667 |  -26.857222222222223 |     t |
| T1531-2651 | 15h31m02s -26d51m26s | 232.75833333333333 |  -26.857222222222223 |     t |
| T1543-2651 | 15h43m26s -26d51m26s |  235.8583333333333 |  -26.857222222222223 |     t |
| T1555-2651 | 15h55m51s -26d51m26s | 238.96249999999995 |  -26.857222222222223 |     t |
| T1608-2651 | 16h08m16s -26d51m26s | 242.06666666666663 |  -26.857222222222223 |     t |
| T1620-2651 | 16h20m41s -26d51m26s | 245.17083333333326 |  -26.857222222222223 |     t |
| T1633-2651 | 16h33m06s -26d51m26s | 248.27499999999995 |  -26.857222222222223 |     t |
| T1645-2651 | 16h45m31s -26d51m26s | 251.37916666666663 |  -26.857222222222223 |     t |
| T1657-2651 | 16h57m55s -26d51m26s | 254.47916666666666 |  -26.857222222222223 |     t |
| T1710-2651 | 17h10m20s -26d51m26s |  257.5833333333333 |  -26.857222222222223 |     t |
| T1722-2651 | 17h22m45s -26d51m26s | 260.68749999999994 |  -26.857222222222223 |     t |
| G1735-2651 | 17h35m10s -26d51m26s |  263.7916666666666 |  -26.857222222222223 |     g |
| G1747-2651 | 17h47m35s -26d51m26s |  266.8958333333333 |  -26.857222222222223 |     g |
| G1759-2651 | 17h59m59s -26d51m26s | 269.99583333333334 |  -26.857222222222223 |     g |
| G1812-2651 | 18h12m24s -26d51m26s | 273.09999999999997 |  -26.857222222222223 |     g |
| T1824-2651 | 18h24m49s -26d51m26s |  276.2041666666666 |  -26.857222222222223 |     t |
| T1837-2651 | 18h37m14s -26d51m26s |  279.3083333333333 |  -26.857222222222223 |     t |
| T1849-2651 | 18h49m39s -26d51m26s | 282.41249999999997 |  -26.857222222222223 |     t |
| T1902-2651 | 19h02m04s -26d51m26s | 285.51666666666665 |  -26.857222222222223 |     t |
| T1914-2651 | 19h14m28s -26d51m26s |  288.6166666666667 |  -26.857222222222223 |     t |
| T1926-2651 | 19h26m53s -26d51m26s |  291.7208333333333 |  -26.857222222222223 |     t |
| T1939-2651 | 19h39m18s -26d51m26s | 294.82499999999993 |  -26.857222222222223 |     t |
| T1951-2651 | 19h51m43s -26d51m26s |  297.9291666666667 |  -26.857222222222223 |     t |
| T2004-2651 | 20h04m08s -26d51m26s |  301.0333333333333 |  -26.857222222222223 |     t |
| T2016-2651 | 20h16m33s -26d51m26s | 304.13749999999993 |  -26.857222222222223 |     t |
| T2028-2651 | 20h28m57s -26d51m26s | 307.23749999999995 |  -26.857222222222223 |     t |
| T2041-2651 | 20h41m22s -26d51m26s | 310.34166666666664 |  -26.857222222222223 |     t |
| T2053-2651 | 20h53m47s -26d51m26s |  313.4458333333333 |  -26.857222222222223 |     t |
| T2106-2651 | 21h06m12s -26d51m26s |             316.55 |  -26.857222222222223 |     t |
| T2118-2651 | 21h18m37s -26d51m26s | 319.65416666666664 |  -26.857222222222223 |     t |
| T2131-2651 | 21h31m02s -26d51m26s | 322.75833333333327 |  -26.857222222222223 |     t |
| T2143-2651 | 21h43m26s -26d51m26s | 325.85833333333323 |  -26.857222222222223 |     t |
| T2155-2651 | 21h55m51s -26d51m26s |           328.9625 |  -26.857222222222223 |     t |
| T2208-2651 | 22h08m16s -26d51m26s |  332.0666666666666 |  -26.857222222222223 |     t |
| T2220-2651 | 22h20m41s -26d51m26s | 335.17083333333323 |  -26.857222222222223 |     t |
| T2233-2651 | 22h33m06s -26d51m26s |  338.2749999999999 |  -26.857222222222223 |     t |
| T2245-2651 | 22h45m31s -26d51m26s |  341.3791666666666 |  -26.857222222222223 |     t |
| T2257-2651 | 22h57m55s -26d51m26s | 344.47916666666663 |  -26.857222222222223 |     t |
| T2310-2651 | 23h10m20s -26d51m26s |  347.5833333333333 |  -26.857222222222223 |     t |
| T2322-2651 | 23h22m45s -26d51m26s | 350.68749999999994 |  -26.857222222222223 |     t |
| T2335-2651 | 23h35m10s -26d51m26s |  353.7916666666666 |  -26.857222222222223 |     t |
| T2347-2651 | 23h47m35s -26d51m26s |  356.8958333333333 |  -26.857222222222223 |     t |
